City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,enewetak,11.3474,162.3373,27.9,80,85,7.19,MH,2023-06-10 21:46:28
211,uliastay,47.7417,96.8444,14.5,50,11,2.1,MN,2023-06-10 21:46:28
212,east end,34.5507,-92.341,23.25,91,91,3.59,US,2023-06-10 21:46:29
213,hammel,56.2576,9.8632,16.73,54,19,5.46,DK,2023-06-10 21:46:29
214,strezhevoy,60.7333,77.5889,11.0,49,91,6.0,RU,2023-06-10 21:46:29
215,san pedro pochutla,15.7333,-96.4667,33.84,61,79,3.12,MX,2023-06-10 21:46:29
216,eureka,40.8021,-124.1637,19.0,74,70,0.89,US,2023-06-10 21:46:29
217,nar'yan-mar,67.6713,53.087,1.91,84,54,8.14,RU,2023-06-10 21:46:29
218,hammerfest,70.6634,23.6821,8.25,61,0,0.0,NO,2023-06-10 21:46:29
219,sur,22.5667,59.5289,32.53,44,90,2.85,OM,2023-06-10 21:46:29
220,bestobe,52.4994,73.0975,14.08,78,40,1.58,KZ,2023-06-10 21:46:29
221,badger,64.8,-147.5333,21.32,40,0,3.09,US,2023-06-10 21:46:30
222,trang,7.5,99.5,24.65,92,100,0.41,TH,2023-06-10 21:46:30
223,saldanha,-33.0117,17.9442,9.03,85,0,2.67,ZA,2023-06-10 21:46:30
224,chadron,42.8294,-102.9999,18.86,81,100,5.66,US,2023-06-10 21:45:36
225,uturoa,-16.7333,-151.4333,26.76,66,64,6.14,PF,2023-06-10 21:46:30
226,erchie,40.438,17.7306,21.4,80,79,2.51,IT,2023-06-10 21:46:30
227,tofol,5.3248,163.0078,28.22,74,86,4.68,FM,2023-06-10 21:46:30
228,mukalla,14.5425,49.1242,31.72,68,97,0.82,YE,2023-06-10 21:46:30
229,bonga,7.2833,36.2333,15.94,99,100,0.59,ET,2023-06-10 21:46:30
230,viqueque,-8.8673,126.3658,23.44,87,35,2.29,TL,2023-06-10 21:46:31
231,betio village,1.358,172.9211,31.02,76,50,5.11,KI,2023-06-10 21:46:31
232,tshabong,-26.05,22.45,11.17,25,0,3.35,BW,2023-06-10 21:46:31
233,chonchi,-42.6128,-73.8092,6.56,87,86,1.41,CL,2023-06-10 21:41:41
234,lazaro cardenas,17.9583,-102.2,30.31,58,31,5.31,MX,2023-06-10 21:46:31
235,nabire,-3.3667,135.4833,25.36,90,78,1.25,ID,2023-06-10 21:46:31
236,ialibu,-6.2821,143.9935,15.21,97,100,0.59,PG,2023-06-10 21:46:31
237,namtsy,62.7161,129.6658,18.99,51,54,3.67,RU,2023-06-10 21:46:31
238,kavieng,-2.5744,150.7967,27.88,80,90,4.1,PG,2023-06-10 21:46:31
239,krutaya gorka,55.3649,73.2231,11.82,87,39,1.47,RU,2023-06-10 21:46:32
240,paita,-5.0892,-81.1144,24.58,76,31,8.09,PE,2023-06-10 21:46:32
241,abong mbang,3.9833,13.1833,19.81,96,89,0.53,CM,2023-06-10 21:46:32
242,el bauga,18.262,33.9081,34.62,29,68,7.57,SD,2023-06-10 21:46:32
243,new kingman-butler,35.265,-114.0323,31.21,12,0,3.6,US,2023-06-10 21:46:32
244,krasnoarmeysk,51.0239,45.6969,15.09,86,99,6.28,RU,2023-06-10 21:46:32
245,belyy yar,53.6039,91.3903,13.94,88,75,6.0,RU,2023-06-10 21:46:32
246,medina,24.4686,39.6142,37.24,12,0,4.63,SA,2023-06-10 21:44:36
247,vuktyl,63.8567,57.3094,1.5,97,100,6.26,RU,2023-06-10 21:46:32
248,velikiye luki,56.34,30.5452,6.39,65,18,2.42,RU,2023-06-10 21:46:33
249,ancud,-41.8697,-73.8203,7.49,74,85,3.44,CL,2023-06-10 21:42:24
250,kemalpasa,38.4262,27.4173,21.32,52,100,1.63,TR,2023-06-10 21:42:37
251,akoupe,6.39,-3.9003,22.74,99,100,1.99,CI,2023-06-10 21:46:33
252,rifle,39.5347,-107.7831,24.33,25,75,5.66,US,2023-06-10 21:46:33
253,montepuez,-13.1256,38.9997,17.04,97,1,1.35,MZ,2023-06-10 21:46:33
254,padang,-0.9492,100.3543,24.03,89,29,1.56,ID,2023-06-10 21:46:33
255,lompoc,34.6391,-120.4579,20.01,79,100,4.63,US,2023-06-10 21:46:34
256,tazovsky,67.4667,78.7,7.19,55,100,5.75,RU,2023-06-10 21:46:34
257,kiffa,16.6166,-11.4045,39.07,12,50,3.42,MR,2023-06-10 21:46:34
258,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,6.69,EC,2023-06-10 21:46:34
259,ventspils,57.3894,21.5606,9.96,81,0,2.06,LV,2023-06-10 21:46:34
260,lepsy,46.235,78.9456,19.35,57,81,8.96,KZ,2023-06-10 21:46:34
261,kununurra,-15.7667,128.7333,16.99,88,95,0.0,AU,2023-06-10 21:46:34
262,bukama,-9.2,25.85,22.37,41,62,0.93,CD,2023-06-10 21:46:35
263,az zuwaytinah,30.9522,20.1202,22.8,62,2,3.17,LY,2023-06-10 21:46:35
264,urumqi,43.801,87.6005,26.53,20,0,3.0,CN,2023-06-10 21:46:35
265,aasiaat,68.7098,-52.8699,1.83,95,100,12.64,GL,2023-06-10 21:46:35
266,genhe,50.7833,121.5167,12.26,93,68,0.61,CN,2023-06-10 21:46:35
267,egilsstadir,65.2653,-14.3948,6.95,81,75,4.12,IS,2023-06-10 21:46:35
268,tindouf,27.6711,-8.1474,26.25,22,0,9.26,DZ,2023-06-10 21:46:35
269,nahavand,34.1885,48.377,18.6,40,44,1.87,IR,2023-06-10 21:46:35
270,kokopo,-4.352,152.2633,26.28,84,79,2.23,PG,2023-06-10 21:46:36
271,katabu,-4.9333,122.5167,24.69,89,99,2.93,ID,2023-06-10 21:46:36
272,cockburn town,21.4612,-71.1419,28.04,84,63,4.53,TC,2023-06-10 21:46:36
273,la ronge,55.1001,-105.2842,24.12,33,40,3.6,CA,2023-06-10 21:46:36
274,port lincoln,-34.7333,135.8667,12.1,67,3,4.6,AU,2023-06-10 21:45:52
275,rio de janeiro,-22.9028,-43.2075,24.98,69,0,2.57,BR,2023-06-10 21:42:13
276,menaka,15.9182,2.4022,32.41,39,100,1.55,ML,2023-06-10 21:46:36
